"Method","Variable","Pop_Predicted","Predicted_Leave_Num","Predicted_SE","Predicted_CI_low","Predicted_CI_high","Actual_Leave_Num","Actual_SE","Actual_CI_low","Actual_CI_high","Leave_Num_Difference","Correct_Num_Leaves","Incorrect_Num_Leaves","Accuracy","Rand_Accuracy","Adj_Accuracy"
"random","pred_type",16691978.67804,22055817.925748,391970.281819635,21287556.1733815,22824079.6781145,24564554.731496,390854.832789911,23798479.2592278,25330630.2037642,-2508736.805748,9907691.852744,19501488.67392,0.336891122952615,0.142857142857143,0.194033980095472
"logit","pred_type",18573581.370416,22871768.169964,362648.808740686,22160976.5048323,23582559.8350957,24564554.731496,390854.832789911,23798479.2592278,25330630.2037642,-1692786.561532,11086304.784488,18322875.742176,0.376967483824874,0.142857142857143,0.234110340967731
"random_forest","pred_type",13484839.63558,15240238.461228,310932.434329619,14630810.8899419,15849666.0325141,24564554.731496,390854.832789911,23798479.2592278,25330630.2037642,-9324316.270268,12628379.132968,16780801.393696,0.429402618733916,0.142857142857143,0.286545475876773
"ridge_class","pred_type",15213764.402972,20220420.668908,389940.099963675,19456138.0729792,20984703.2648368,24564554.731496,390854.832789911,23798479.2592278,25330630.2037642,-4344134.062588,11693824.865676,17715355.660988,0.397624981596265,0.142857142857143,0.254767838739122
"xg_boost","pred_type",21507870.998364,39011322.457164,580708.132481444,37873134.5175004,40149510.3968276,24564554.731496,390854.832789911,23798479.2592278,25330630.2037642,14446767.725668,8601162.522612,20808018.004052,0.2924652223755,0.142857142857143,0.149608079518357
"KNN1","pred_type",19626648.964804,20197868.171092,282613.042398799,19643946.6079904,20751789.7341936,24564554.731496,390854.832789911,23798479.2592278,25330630.2037642,-4366686.560404,14494782.966452,14914397.560212,0.492865925091324,0.142857142857143,0.350008782234181
