"Group.1","Precision","Recall","Accuracy","Rand_Precision","Rand_Recall","Rand_Accuracy","Precision_Index","Recall_Index","Accuracy_Index"
"KNN1",0.195777777777778,0.185777777777778,0.794444444444444,0.20166303077683,0.18796721623526,0.789819595415783,-0.00588525299905196,-0.0021894384574824,0.00462484902866112
"logit",0.235444444444444,0.237444444444444,0.796666666666667,0.199399850697881,0.17483548243156,0.793003227503443,0.0360445937465636,0.0626089620128847,0.00366343916322335
"random",0.196666666666667,0.156888888888889,0.782222222222222,0.199411144685935,0.17256150695977,0.787601185037124,-0.00274447801926789,-0.0156726180708809,-0.00537896281490197
"random_forest",NA,0.117777777777778,0.801111111111111,NA,0.125525585309943,0.799982244241527,NA,-0.00774780753216511,0.00112886686958382
"ridge_class",NA,0.185444444444444,0.794444444444444,NA,0.156301514934469,0.788479771623277,NA,0.0291429295099759,0.00596467282116786
"xg_boost",0.188888888888889,0.394444444444444,0.621111111111111,0.201663025597803,0.396119044349705,0.633639788605496,-0.0127741367089138,-0.00167459990526033,-0.0125286774943848
