"","length_own","length_matdis","length_bond","length_illchild","length_illparent","length_illspouse","resp_len","unaffordable","recStatePay","weight"
"2748",0,0,0,0,0,0,0,NA,NA,30010.5440618619
"129",0,0,0,0,0,0,0,NA,NA,102039.81066578
"1516",0,0,0,0,0,0,0,NA,NA,199640.593633071
"1492",0,0,0,0,0,0,0,NA,NA,149067.145331846
"1546",0,0,0,0,0,0,0,NA,NA,291665.273473705
"1191",0,0,0,0,0,0,0,NA,NA,37085.3750405409
"2444",0,0,0,0,0,0,0,NA,NA,79297.1183940927
"646",0,0,0,0,0,0,0,NA,NA,22740.2045028792
"317",0,0,0,4,0,0,0,NA,0,10057.062312194
"2477",15,0,0,0,0,0,0,NA,0,15761.9426448215
"1632",0,0,0,0,0,0,0,NA,NA,20290.7714327036
"348",0,0,0,0,0,0,0,NA,NA,183086.900807436
"920",0,0,0,0,0,0,0,NA,NA,13567.2048496841
"995",0,0,0,0,0,0,0,NA,NA,87446.5451510462
"1162",0,0,0,0,15,0,0,NA,0,9472.26190881856
"2093",0,0,0,0,0,0,0,NA,NA,61812.5961718216
"1582",0,0,0,0,0,0,0,0,NA,7211.50990048681
"417",135,0,0,0,0,0,0,NA,0,5760.127052792
"1356",0,0,0,0,0,0,1,NA,0,99169.3762724205
"461",0,0,0,0,0,0,0,NA,NA,15762.8250170556
"2724",0,0,0,0,0,0,0,NA,NA,18822.2222668441
"1293",0,0,0,0,0,20,0,NA,0,24313.4058905289
"15",0,0,0,0,0,0,0,NA,NA,37234.6530551207
"2605",0,0,0,0,0,0,0,NA,NA,27618.3937922996
"1364",10,0,0,0,0,0,0,NA,0,15451.6097320639
"45",0,0,0,0,0,0,0,NA,NA,282511.482965192
"258",0,0,0,0,0,0,0,NA,NA,12823.1985468192
"1087",10,0,0,0,0,0,0,NA,0,12189.6216935909
"269",30,0,0,0,0,0,1,NA,0,11473.6478835334
"2680",14,0,0,0,0,0,1,NA,0,18361.4304316622
"1316",180,0,0,0,0,0,0,NA,0,16340.5800548416
"1745",20,0,0,0,0,0,0,NA,0,6121.11710777881
"1411",0,0,0,0,60,0,1,0,0,12593.4641164252
"2816",0,0,0,0,0,0,0,0,NA,10879.5607575657
"1633",0,0,68,0,0,0,1,NA,0,13420.3485148764
"743",0,0,15,0,0,0,1,NA,0,18292.5131884092
"2184",10,0,0,0,0,0,1,NA,0,9981.55774100768
"651",0,0,0,0,0,0,0,NA,NA,102280.334704666
"836",0,0,0,0,0,0,0,NA,NA,66031.0782913953
"2387",0,0,0,0,0,0,1,1,NA,14168.5896213084
"1055",0,60,0,0,0,0,0,0,0,19045.8169097139
"1303",0,0,0,0,0,0,0,NA,NA,60311.0572502252
"480",7,0,0,0,0,0,1,NA,0,6880.86482738606
"222",7,0,0,0,0,0,0,NA,0,11602.3674768742
"2460",0,0,0,0,0,0,0,NA,NA,33577.879598275
"2089",60,0,0,0,0,0,0,NA,0,17100.6046204037
"2416",0,0,0,0,0,0,0,NA,NA,18316.082008766
"1782",35,0,0,0,0,0,1,NA,0,10917.0339935188
"73",0,0,0,0,0,0,1,1,NA,11770.6647404374
"331",0,0,0,0,0,0,0,NA,NA,178739.265464043
"2755",0,0,0,0,NA,0,0,NA,0,12291.3271605139
"1420",0,0,0,0,0,0,0,NA,NA,76210.175792787
"1361",0,30,0,0,0,0,0,NA,NA,96706.1863506694
"2414",0,0,0,50,0,0,1,0,0,15637.1847046796
"2564",0,0,0,0,0,135,0,NA,0,7594.2121080529
"1256",0,0,0,0,0,0,0,NA,NA,130784.404304603
"2182",0,0,0,0,15,0,0,NA,NA,10916.987824325
"379",0,60,0,0,0,0,0,NA,0,23401.8199665181
"1794",0,0,0,0,0,0,0,NA,NA,25579.0394602884
"1539",0,0,0,0,0,0,0,NA,NA,59284.991175678
"740",0,0,0,0,0,0,0,NA,NA,75875.2229445771
"589",0,0,0,0,0,0,0,NA,NA,247635.99441027
"1763",203,0,0,0,0,0,0,NA,0,45083.1173192787
"2381",0,0,0,0,0,0,0,NA,NA,23631.42045006
"803",0,0,0,0,0,0,0,NA,NA,20569.2548132081
"705",0,0,0,0,0,0,0,0,NA,23306.5244221957
"1726",0,0,0,0,0,0,0,NA,NA,55828.5463304562
"2454",0,0,0,0,5,0,0,NA,0,8718.24255278713
"1214",0,0,0,0,0,0,0,NA,NA,33631.4013243108
"806",0,0,0,0,0,0,0,NA,NA,24663.1534222441
"2849",0,0,0,0,0,0,0,NA,NA,45803.1371376308
"1452",68,0,0,0,0,0,1,NA,0,11770.6647404374
"340",0,0,0,0,0,0,0,NA,NA,7520.68638841386
"165",0,0,0,0,0,0,0,NA,NA,76284.8099843426
"1610",0,0,0,0,0,0,0,0,NA,32330.9306395224
"2666",0,0,0,0,261,0,0,NA,0,12164.1188670721
"408",44,0,0,0,0,0,1,NA,0,8624.37778345928
"2005",0,113,0,0,0,0,1,NA,0,16154.5988761368
"75",0,0,0,0,0,0,0,0,NA,8979.7076957736
"2059",7,0,0,0,0,0,1,NA,0,10918.3234857818
"1077",3,0,0,0,0,0,0,NA,0,8394.99389091715
"1388",0,0,0,0,0,0,0,NA,NA,6486.21779256967
"1689",0,0,0,0,5,0,1,NA,0,11473.6478835334
"1273",0,0,0,0,0,0,0,NA,NA,22182.6895589682
"1514",0,135,0,0,0,0,1,NA,0,16207.9786645416
"2590",0,0,0,0,0,0,0,NA,NA,88094.1620368696
"384",30,0,0,0,0,0,0,0,0,20959.176897308
"1658",6,0,0,0,0,0,0,0,0,9078.52535400369
"1530",0,0,0,0,0,0,0,NA,NA,63481.2793378379
"2533",0,0,0,0,0,0,0,NA,NA,93849.0656854455
"1307",25,0,0,0,0,0,1,NA,0,13621.7557747981
"353",0,0,0,0,0,0,0,NA,NA,13906.5741158565
"199",NA,NA,NA,NA,NA,0,1,NA,0,19781.0653363495
"1076",0,0,0,0,0,0,0,NA,NA,52932.3753134823
"436",0,0,0,0,0,0,0,NA,NA,78621.3206891617
"2203",0,0,0,0,0,0,0,NA,NA,103081.38063315
"1511",0,0,0,0,0,0,1,1,NA,11602.3674768742
"1297",5,0,0,0,0,0,1,NA,0,11602.3674768742
"41",0,0,0,0,0,0,0,NA,NA,14537.5604613491
"982",19,0,0,0,0,0,1,NA,0,24663.1534222441
"1046",0,0,0,0,0,0,0,NA,NA,43330.1673101199
"2453",6,0,0,0,0,0,0,NA,0,7460.09054646327
"324",0,0,0,0,0,0,0,NA,NA,328885.701425584
"1738",6,0,0,0,0,0,0,NA,0,33252.7938268274
"1989",90,0,0,0,0,0,0,0,0,20846.0837190806
"927",0,0,0,0,0,0,0,NA,NA,100544.270081306
"1990",0,0,0,0,0,0,0,NA,NA,95340.1045556776
"289",0,0,0,0,0,0,0,NA,NA,12186.1584481799
"2106",0,0,0,0,0,0,0,NA,NA,11562.2955867601
"2040",5,0,0,0,0,0,1,NA,0,5885.06031135775
"1908",0,0,0,0,0,0,0,NA,NA,7399.55859444377
"1157",0,0,0,0,0,0,0,NA,NA,116427.685741165
"1825",0,0,0,0,0,0,0,NA,NA,29113.2671104459
"2752",0,0,0,0,0,23,1,NA,0,13621.7557747981
"639",0,0,0,0,0,0,0,NA,NA,74948.9020812056
"1765",0,0,0,0,0,0,0,NA,NA,37736.7431078623
"2823",0,0,225,0,0,0,0,NA,0,37388.3969325918
"2470",0,0,0,0,0,0,0,NA,NA,87506.6808267249
"2795",45,0,0,0,0,0,0,NA,0,20884.9450919346
"917",10,0,0,0,0,0,1,NA,0,11098.7576207179
"999",0,0,0,0,0,0,0,NA,NA,17378.9522790571
"1441",15,0,0,0,0,0,0,NA,0,17557.4932991448
"1240",0,0,0,0,0,0,0,NA,NA,25717.1673565552
"2152",10,0,0,0,0,0,1,1,0,11473.6478835334
"1677",0,0,0,0,0,0,0,NA,NA,69804.599566246
"1911",5,0,0,0,0,0,1,NA,0,11770.6647404374
"2738",0,0,0,0,1,0,0,NA,1,17902.8072466286
"2121",0,0,0,0,0,0,0,NA,NA,9921.61452430036
"2676",17,0,0,0,0,0,0,NA,NA,6871.37373690406
"675",40,0,0,0,0,0,1,NA,0,9921.61452430036
"2183",0,0,0,0,0,0,0,NA,NA,27165.5990809287
"1082",0,0,0,0,0,0,0,NA,NA,8076.26717244968
"2225",40,0,0,0,0,0,1,NA,0,7594.2121080529
"458",0,0,0,0,0,0,0,NA,NA,129206.424640976
"424",0,0,0,0,0,135,1,NA,0,21740.3334556616
"68",0,0,0,0,0,20,1,NA,0,17746.4132668626
"26",0,0,0,0,19,0,1,1,0,21567.3658406692
"385",0,0,0,0,5,0,1,1,0,14558.2169757061
"579",10,0,0,0,0,0,0,NA,0,21971.4564205603
"837",0,0,0,0,0,0,0,NA,NA,106072.902370449
"2013",0,0,0,0,0,0,0,NA,NA,170451.780126061
"1513",20,0,0,0,0,0,1,NA,1,14285.6699767864
"365",6,0,0,0,0,0,0,NA,0,21070.9953670729
"492",0,0,0,0,0,0,0,NA,NA,154794.273817251
"508",0,0,0,1,0,0,0,NA,0,17063.5105706703
"896",0,0,0,0,0,0,0,NA,NA,32251.259393174
"2074",0,0,0,0,0,0,0,NA,NA,51399.0123635408
"2817",10,0,0,0,0,0,0,NA,0,6012.45833419165
"1630",0,0,0,0,0,0,0,NA,NA,51495.5222683738
"1384",0,0,0,0,0,0,0,NA,NA,24112.4312759462
"1590",0,0,0,0,0,0,0,NA,0,13319.7360519439
"180",10,0,0,0,0,0,1,NA,0,12953.0641668609
"2376",0,0,90,0,0,0,1,NA,1,9837.06777407585
"1435",15,0,0,0,0,0,0,NA,0,12291.3271605139
"2753",0,0,0,0,0,0,0,NA,NA,63516.867538643
"574",0,0,0,0,0,0,0,NA,NA,289595.346506231
"2206",0,0,0,0,0,0,0,NA,NA,83457.8409996328
"2232",0,0,0,0,15,0,0,NA,0,10054.2562408019
"36",0,0,0,0,2,0,0,NA,0,9427.02055879817
"1737",0,0,0,0,0,0,0,NA,NA,6603.6060326581
"320",0,0,0,0,0,0,0,NA,NA,14001.8921618906
"1640",0,0,0,0,0,0,0,0,NA,6776.64836207017
"713",5,0,0,0,0,0,1,NA,0,11347.4621594706
"2831",10,0,0,0,0,0,0,NA,NA,4947.92834434784
"1707",10,0,0,0,0,0,1,NA,0,11098.7576207179
"1922",6,0,0,0,0,0,1,NA,0,10421.4064822768
"2261",0,0,0,0,0,0,0,NA,NA,55126.5341524035
"1591",0,45,0,0,0,0,0,NA,0,36831.0787815645
"366",0,0,0,0,0,0,0,NA,NA,45666.7455827177
"391",0,0,0,0,0,0,0,NA,NA,75637.6361947829
"1560",0,0,0,0,0,0,0,NA,NA,9921.61452430036
"828",0,0,0,0,0,0,0,NA,NA,169653.599506138
"1644",0,0,0,0,0,0,0,NA,NA,102280.334704666
"164",25,0,0,0,0,0,0,NA,0,10918.3234857818
"313",5,0,0,0,0,0,0,NA,0,8755.16480602478
"1319",0,0,0,0,0,0,0,NA,NA,30599.3886530594
"107",0,0,30,0,0,0,0,NA,0,66538.127381891
"969",0,0,0,0,0,0,0,NA,NA,334493.393870968
"2677",20,0,0,0,0,0,0,NA,0,30462.2412048902
"1175",45,0,0,0,0,0,1,NA,0,15307.2702993459
"2663",0,0,0,0,0,0,1,NA,0,24208.452012535
"723",135,0,0,0,0,0,0,NA,0,8226.86858861486
"712",0,60,0,0,0,0,1,NA,0,9118.09339736663
"1262",0,0,0,0,0,90,1,1,0,12644.6565727503
"1152",0,0,5,0,0,0,1,NA,0,12614.5423582696
"2497",0,60,0,0,0,0,1,NA,0,13269.6585108196
"2419",0,0,0,0,0,0,0,NA,NA,46615.0907448436
"1761",0,0,0,0,0,0,1,NA,0,22531.3998487547
"117",0,0,60,0,0,0,1,NA,1,6725.87881654556
"2805",15,0,0,0,0,0,1,NA,0,18055.7082511461
"1147",15,0,0,0,0,0,1,NA,0,92671.8156470905
"1667",0,0,0,0,0,0,0,NA,NA,93989.8136584505
"1226",0,0,0,0,0,0,0,NA,NA,17054.6520747423
"1224",0,0,0,40,0,0,0,NA,0,8624.37778345928
"160",0,0,0,0,0,0,1,1,NA,18518.9897006938
"1113",0,0,0,5,0,0,0,NA,0,27324.025244976
"684",0,0,0,0,0,0,0,0,NA,16349.5607305178
"939",0,0,0,0,0,0,0,NA,NA,68536.953410583
"2844",0,0,0,0,0,0,0,NA,NA,11405.03151612
"792",0,0,0,0,0,0,1,NA,0,15346.0563652886
"1",0,0,0,0,0,0,0,NA,NA,176628.792168228
"2197",0,0,0,0,0,0,0,NA,NA,29213.0946794195
"2728",0,0,0,0,0,0,1,0,0,33252.7938268274
"183",0,0,10,0,0,0,0,NA,0,11448.2115095394
"1969",0,0,0,0,0,0,0,0,NA,12053.8050975496
"2170",30,0,0,0,0,0,0,NA,0,48842.0591295415
"1144",0,0,0,0,0,0,0,NA,NA,56182.6962177971
"2661",0,0,0,0,0,0,0,NA,NA,116947.742501327
"2292",0,0,0,0,0,0,1,1,0,52922.7801996989
"1005",0,0,0,0,0,0,0,NA,NA,62794.7595152028
"676",0,40,0,0,0,0,1,NA,0,14558.2169757061
"2668",0,0,0,0,0,0,0,NA,NA,82938.6842248587
"285",90,0,0,0,0,0,0,NA,0,14124.5225105657
"1108",0,0,0,0,0,0,0,NA,NA,18421.5491070788
"2037",15,0,0,0,0,0,0,NA,0,10506.8262172557
"2221",0,0,0,0,0,0,0,NA,NA,184595.766435438
"904",0,0,0,6,0,0,0,NA,0,13457.2429643418
"350",0,0,0,5,0,0,0,NA,0,26609.334660291
"2808",0,0,4,0,0,0,0,NA,0,31572.0213915957
"1569",0,0,0,0,0,0,0,NA,NA,11436.9799549521
"1572",0,0,0,0,0,0,0,NA,NA,72710.9236921613
"1071",0,0,0,0,0,0,0,NA,NA,134287.033477627
"1537",0,0,0,0,0,0,0,NA,NA,30241.0889106976
"932",0,0,0,NA,0,0,1,0,0,6697.81256472284
"1495",0,0,0,0,0,0,0,NA,NA,96172.5637782626
"994",10,0,0,0,0,0,1,NA,0,12959.6663778611
"1848",0,0,0,0,0,0,0,NA,0,14956.2311963403
"689",0,0,0,0,0,0,0,NA,NA,12807.1936466059
"207",0,0,0,0,0,0,0,NA,NA,57824.6484632473
"911",0,0,0,0,0,0,0,NA,NA,41927.4618564858
"812",20,0,0,0,0,0,0,NA,0,8541.93055097652
"314",135,0,0,0,0,0,0,NA,1,19614.4746881041
"1675",0,0,0,0,0,0,0,NA,NA,10943.5479748915
"1571",0,0,0,10,0,0,0,NA,0,18301.6804818136
"1238",10,0,0,0,0,0,0,NA,0,18361.4304316622
"823",0,0,0,0,0,4,0,NA,0,19900.2686780473
"2195",0,0,0,10,0,0,1,NA,0,35652.1270926594
"1822",0,0,0,0,135,0,1,1,1,6208.84362485165
"580",0,0,0,0,0,0,0,NA,NA,51495.5222683738
"1326",0,0,0,0,15,0,1,0,0,8581.73318199383
"1358",0,0,0,0,0,0,0,NA,NA,35288.4807705852
"747",0,0,0,0,0,5,0,NA,0,21180.3319516894
"1341",0,0,0,0,0,0,0,NA,NA,83397.0181730639
"2076",90,0,0,0,0,0,1,NA,0,39874.5452904751
"459",0,0,0,0,0,0,0,NA,NA,33521.4833407108
"528",0,0,0,0,0,0,0,NA,NA,84831.8553191854
"832",15,0,0,0,0,0,0,NA,0,11178.8141058467
"1580",0,0,0,0,0,0,0,NA,NA,105985.438919694
"464",90,0,0,0,0,0,1,NA,1,14447.9221248699
"2815",0,0,30,0,0,0,1,NA,0,12024.886176763
"2686",0,0,0,0,0,0,1,1,NA,40817.7282160753
"32",0,0,0,0,0,0,0,NA,NA,15892.2268997907
"2095",45,0,0,0,0,0,1,0,1,34701.131513606
"2430",17,0,0,0,0,0,1,NA,0,12291.3271605139
"1619",23,0,0,0,0,0,0,NA,0,16634.8258969725
"735",0,0,0,0,0,0,0,NA,NA,7292.90388347805
"1770",0,0,0,0,0,0,0,NA,0,25067.3177899129
"895",0,0,0,0,0,0,0,NA,NA,11562.2955867601
"975",20,0,0,0,0,0,0,NA,0,11347.4621594706
"334",0,25,0,0,0,0,0,NA,0,11345.5947730078
"992",0,0,0,0,0,0,0,NA,NA,11245.0844581625
"954",0,0,0,0,0,0,0,NA,NA,104284.589575964
"2498",5,0,0,0,0,0,0,NA,0,8876.38250833947
"1161",0,0,68,0,0,0,0,NA,0,17209.6696175587
"820",0,0,0,0,0,0,0,NA,0,52503.947405067
"1836",0,0,0,0,0,0,0,NA,NA,60247.543435151
"1131",0,0,0,0,0,0,0,0,NA,22173.3573025524
"1199",10,0,0,0,0,0,0,NA,0,10084.0052457429
"841",75,0,0,0,0,0,0,NA,0,41289.0631740957
"1888",0,0,0,0,0,0,0,0,NA,23767.4162650466
"1853",0,0,0,0,0,0,0,NA,NA,19307.6971151769
"1678",0,0,0,0,0,0,0,NA,NA,63516.867538643
"363",0,0,0,0,0,40,1,NA,0,11131.553704147
"2625",0,0,0,0,0,0,0,NA,NA,75765.9217344199
"545",45,0,0,0,0,0,1,NA,0,24004.1504242585
"2278",0,0,0,0,0,0,0,NA,NA,30216.4182148315
"19",0,0,0,0,0,0,0,NA,NA,11486.9767008059
"635",0,60,0,0,0,0,1,NA,NA,20633.2120432124
"102",10,0,0,0,0,0,0,NA,0,9148.7897061031
"2725",0,0,0,0,0,0,0,NA,NA,31855.9959727556
